game_id,game_type,year,event_index,pitch_number,home_team,away_team,batter_id,bat_side,batter_name,pitcher_id,pitch_hand,pre_runner_1b_id,pre_runner_2b_id,pre_runner_3b_id,fielder_2_id,fielder_3_id,fielder_4_id,fielder_5_id,fielder_6_id,fielder_7_id,fielder_8_id,fielder_9_id,inning,half_inning,outs,balls,strikes,if_fielding_alignment,of_fielding_alignment,pitch_type,ax,ay,az,vx0,vy0,vz0,release_pos_x,release_pos_y,release_pos_z,release_speed,extension,effective_speed,pfx_x,pfx_z,plate_x,plate_z,zone,release_spin_rate,spin_axis,strike_zone_top,strike_zone_bottom,bat_speed,swing_length,launch_speed,launch_angle,expected_woba,expected_babip,hit_coord_x,hit_coord_y,hit_distance_sc,bb_type,hit_location,type,description,events,woba_denom,woba_value,babip_value,iso_value,delta_run_exp,delta_home_win_exp,game_date,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,des,inning_topbot,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,pitcher...60,fielder_2...61,launch_speed_angle,at_bat_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score
745732,R,2024,27,2,NYY,BAL,623993,L,"Santander, Anthony",543037,R,NA,NA,NA,624431,700250,650402,518934,683011,657077,663757,665742,4,top,1,0,1,Infield shade,Standard,FF,-6.611426836137454,33.78621702309083,-13.573273644147536,5.207495655640103,-136.5008007353489,-2.872121069805995,-2.19,54.46,6.21,93.9,6,92.9,-0.43,1.46,-0.53,4.11,11,2416,205,3.4,1.62,35.06193,5.98771,64.3,-43,NA,NA,NA,NA,4,NA,NA,S,foul,NA,NA,NA,NA,NA,-0.036,0,2024-06-19,NA,NA,NA,NA,Anthony Santander strikes out swinging.,Top,NA,NA,NA,NA,543037,624431,NA,28,4-Seam Fastball,1,1,1,1,1,1,1,1
745732,R,2024,27,1,NYY,BAL,623993,L,"Santander, Anthony",543037,R,NA,NA,NA,624431,700250,650402,518934,683011,657077,663757,665742,4,top,1,0,0,Infield shade,Standard,FC,2.3304723658463753,27.002509005231417,-19.19222797946096,6.0706957393312315,-132.90743261970994,-3.7540395390563104,-2.4,54.58,6.18,91.3,5.9,90.9,0.3,1.04,0.28,3.25,3,2478,191,3.42,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,called_strike,NA,NA,NA,NA,NA,-0.023,0,2024-06-19,NA,NA,NA,NA,Anthony Santander strikes out swinging.,Top,NA,NA,NA,NA,543037,624431,NA,28,Cutter,1,1,1,1,1,1,1,1
745732,R,2024,26,4,NYY,BAL,656811,L,"O'Hearn, Ryan",543037,R,NA,NA,NA,624431,700250,650402,518934,683011,657077,663757,665742,4,top,0,1,2,Infield shade,Standard,FF,-5.170074433201407,31.083587028389314,-11.798466004882918,4.590500796749904,-136.1604212837126,-7.019728447313149,-2.17,54.14,6.14,93.6,6.4,93.5,-0.33,1.53,-0.68,2.49,4,2400,209,3.52,1.68,74.10511,7.19518,102.2,21,0.718,0.549,90.39,62.2,350,line_drive,8,X,hit_into_play,field_out,1,0,0,0,-0.167,0.027,2024-06-19,NA,NA,NA,NA,Ryan O'Hearn lines out sharply to center fielder Trent Grisham.,Top,NA,NA,NA,NA,543037,624431,5,27,4-Seam Fastball,1,1,1,1,1,1,1,1
745732,R,2024,26,3,NYY,BAL,656811,L,"O'Hearn, Ryan",543037,R,NA,NA,NA,624431,700250,650402,518934,683011,657077,663757,665742,4,top,0,0,2,Infield shade,Standard,CH,-10.959876045502366,25.613658119771507,-27.62841045876404,4.81789070559614,-126.687460434292,-6.723550117325325,-2.26,54.19,6.15,87.1,6.3,87.1,-0.93,0.31,-1.04,1.05,13,1449,212,3.54,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,ball,NA,NA,NA,NA,NA,0.021,0,2024-06-19,NA,NA,NA,NA,Ryan O'Hearn lines out sharply to center fielder Trent Grisham.,Top,NA,NA,NA,NA,543037,624431,NA,27,Changeup,1,1,1,1,1,1,1,1
745732,R,2024,26,2,NYY,BAL,656811,L,"O'Hearn, Ryan",543037,R,NA,NA,NA,624431,700250,650402,518934,683011,657077,663757,665742,4,top,0,0,1,Infield shade,Standard,FC,2.998383036059225,26.19023085788836,-20.108547119130098,2.825430218042737,-130.17451935587928,-3.7981929906120495,-2.38,54.36,6.16,89.4,6.1,89.4,0.31,1.01,-0.96,3.05,11,2374,189,3.53,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,called_strike,NA,NA,NA,NA,NA,-0.049,0,2024-06-19,NA,NA,NA,NA,Ryan O'Hearn lines out sharply to center fielder Trent Grisham.,Top,NA,NA,NA,NA,543037,624431,NA,27,Cutter,1,1,1,1,1,1,1,1
745732,R,2024,26,1,NYY,BAL,656811,L,"O'Hearn, Ryan",543037,R,NA,NA,NA,624431,700250,650402,518934,683011,657077,663757,665742,4,top,0,0,0,Standard,Standard,KC,6.468765665782941,25.677759134603924,-44.75069111926785,2.964380337177955,-119.17462539315082,0.28638886822237675,-2.28,54.26,6.22,81.9,6.2,81.4,0.75,-1.3,-0.32,2.29,4,2691,35,3.52,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,called_strike,NA,NA,NA,NA,NA,-0.033,0,2024-06-19,NA,NA,NA,NA,Ryan O'Hearn lines out sharply to center fielder Trent Grisham.,Top,NA,NA,NA,NA,543037,624431,NA,27,Knuckle Curve,1,1,1,1,1,1,1,1
745732,R,2024,22,6,NYY,BAL,663624,R,"Mountcastle, Ryan",543037,R,NA,683002,NA,624431,700250,650402,518934,683011,657077,663757,665742,3,top,2,2,2,Standard,Standard,SL,4.830964910858473,26.46449622213121,-30.107454121336605,6.76458267469602,-129.39879073611513,-4.162579781828366,-2.34,54.14,5.94,88.9,6.4,89.1,0.55,0.12,0.89,1.9,14,2618,139,3.67,1.83,72.01214,8.74656,NA,NA,0,NA,NA,NA,NA,NA,2,S,swinging_strike,strikeout,1,0,0,0,-0.277,0.037,2024-06-19,NA,NA,NA,NA,Ryan Mountcastle strikes out swinging.,Top,NA,NA,NA,NA,543037,624431,NA,23,Slider,1,1,1,1,1,1,1,1
745732,R,2024,22,5,NYY,BAL,663624,R,"Mountcastle, Ryan",543037,R,NA,683002,NA,624431,700250,650402,518934,683011,657077,663757,665742,3,top,2,1,2,Standard,Standard,KC,8.25833500952853,27.289018021820688,-42.47937236977108,9.634119070096975,-122.99583446033132,-8.721154970582461,-2.11,53.92,6.04,84.9,6.6,84.5,1.03,-1.2,2.89,-1.46,14,2891,30,3.56,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,blocked_ball,NA,NA,NA,NA,NA,0.041,0,2024-06-19,NA,NA,NA,NA,Ryan Mountcastle strikes out swinging.,Top,NA,NA,NA,NA,543037,624431,NA,23,Knuckle Curve,1,1,1,1,1,1,1,1
745732,R,2024,22,4,NYY,BAL,663624,R,"Mountcastle, Ryan",543037,R,NA,683002,NA,624431,700250,650402,518934,683011,657077,663757,665742,3,top,2,1,2,Standard,Standard,FF,-8.059248108113604,33.80041643476513,-15.181165524403852,6.111618966818292,-140.0263524765121,-1.8759013621281344,-2.41,54.1,6,96.3,6.4,96.2,-0.5,1.28,-0.54,4.27,11,2411,211,3.67,1.83,73.7358,6.36538,77.5,26,NA,NA,NA,NA,231,NA,NA,S,foul,NA,NA,NA,NA,NA,0,0,2024-06-19,NA,NA,NA,NA,Ryan Mountcastle strikes out swinging.,Top,NA,NA,NA,NA,543037,624431,NA,23,4-Seam Fastball,1,1,1,1,1,1,1,1
745732,R,2024,22,3,NYY,BAL,663624,R,"Mountcastle, Ryan",543037,R,NA,683002,NA,624431,700250,650402,518934,683011,657077,663757,665742,3,top,2,1,1,Standard,Standard,FC,2.4165860968937825,25.92853563662782,-21.58065456759668,7.055668935187796,-134.84630941301242,-6.231569885707052,-2.51,54.02,5.97,92.7,6.5,93.4,0.31,0.78,0.5,1.96,9,2593,194,3.67,1.83,79.42542,8.14422,65.5,-10,NA,NA,NA,NA,10,NA,NA,S,foul,NA,NA,NA,NA,NA,-0.067,0,2024-06-19,NA,NA,NA,NA,Ryan Mountcastle strikes out swinging.,Top,NA,NA,NA,NA,543037,624431,NA,23,Cutter,1,1,1,1,1,1,1,1
